airline,nb_bumped,total_passengers,bumps_per_10k
ALASKA AIRLINES,1392,36543121,0.381
AMERICAN AIRLINES,11115,197365225,0.563
DELTA AIR LINES,1591,197033215,0.081
EXPRESSJET AIRLINES,3326,27858678,1.194
FRONTIER AIRLINES,1228,22954995,0.535
HAWAIIAN AIRLINES,122,16577572,0.074
JETBLUE AIRWAYS,3615,53245866,0.679
SKYWEST AIRLINES,3094,47091737,0.657
SOUTHWEST AIRLINES,18585,228142036,0.815
SPIRIT AIRLINES,2920,32304571,0.904
UNITED AIRLINES,4941,134468897,0.367
VIRGIN AMERICA,242,12017967,0.201
