data_values,time
-0.006928,0.000000
-0.007929,0.000045
-0.008900,0.000091
-0.009815,0.000136
-0.010653,0.000181
-0.011393,0.000227
-0.012021,0.000272
-0.012525,0.000317
-0.012900,0.000363
-0.013146,0.000408
-0.013270,0.000454
-0.013281,0.000499
-0.013194,0.000544
-0.013028,0.000590
-0.012802,0.000635
-0.012539,0.000680
-0.012259,0.000726
-0.011982,0.000771
-0.011726,0.000816
-0.011505,0.000862
-0.011331,0.000907
-0.011209,0.000952
-0.011142,0.000998
-0.011130,0.001043
-0.011166,0.001088
-0.011243,0.001134
-0.011350,0.001179
-0.011477,0.001224
-0.011612,0.001270
-0.011743,0.001315
-0.011861,0.001361
-0.011957,0.001406
-0.012027,0.001451
-0.012066,0.001497
-0.012074,0.001542
-0.012053,0.001587
-0.012008,0.001633
-0.011943,0.001678
-0.011865,0.001723
-0.011782,0.001769
-0.011699,0.001814
-0.011624,0.001859
-0.011560,0.001905
-0.011511,0.001950
-0.011479,0.001995
-0.011463,0.002041
-0.011462,0.002086
-0.011472,0.002132
-0.011489,0.002177
-0.011509,0.002222
-0.011526,0.002268
-0.011537,0.002313
-0.011537,0.002358
-0.011525,0.002404
-0.011500,0.002449
-0.011461,0.002494
-0.011411,0.002540
-0.011354,0.002585
-0.011292,0.002630
-0.011232,0.002676
-0.011177,0.002721
-0.011132,0.002766
-0.011102,0.002812
-0.011088,0.002857
-0.011093,0.002902
-0.011117,0.002948
-0.011158,0.002993
-0.011213,0.003039
-0.011277,0.003084
-0.011345,0.003129
-0.011410,0.003175
-0.011467,0.003220
-0.011509,0.003265
-0.011529,0.003311
-0.011524,0.003356
-0.011490,0.003401
-0.011425,0.003447
-0.011327,0.003492
-0.011199,0.003537
-0.011043,0.003583
-0.010862,0.003628
-0.010662,0.003673
-0.010448,0.003719
-0.010225,0.003764
-0.009998,0.003810
-0.009774,0.003855
-0.009555,0.003900
-0.009347,0.003946
-0.009150,0.003991
-0.008967,0.004036
-0.008797,0.004082
-0.008641,0.004127
-0.008496,0.004172
-0.008361,0.004218
-0.008234,0.004263
-0.008114,0.004308
-0.007997,0.004354
-0.007883,0.004399
-0.007772,0.004444
-0.007661,0.004490
-0.007553,0.004535
-0.007447,0.004580
-0.007345,0.004626
-0.007247,0.004671
-0.007155,0.004717
-0.007069,0.004762
-0.006990,0.004807
-0.006919,0.004853
-0.006854,0.004898
-0.006794,0.004943
-0.006737,0.004989
-0.006681,0.005034
-0.006621,0.005079
-0.006556,0.005125
-0.006481,0.005170
-0.006393,0.005215
-0.006290,0.005261
-0.006168,0.005306
-0.006025,0.005351
-0.005861,0.005397
-0.005675,0.005442
-0.005467,0.005488
-0.005239,0.005533
-0.004992,0.005578
-0.004729,0.005624
-0.004451,0.005669
-0.004163,0.005714
-0.003865,0.005760
-0.003560,0.005805
-0.003251,0.005850
-0.002940,0.005896
-0.002626,0.005941
-0.002312,0.005986
-0.001997,0.006032
-0.001682,0.006077
-0.001366,0.006122
-0.001049,0.006168
-0.000731,0.006213
-0.000411,0.006259
-0.000090,0.006304
0.000233,0.006349
0.000555,0.006395
0.000878,0.006440
0.001198,0.006485
0.001516,0.006531
0.001830,0.006576
0.002138,0.006621
0.002440,0.006667
0.002734,0.006712
0.003020,0.006757
0.003299,0.006803
0.003569,0.006848
0.003833,0.006893
0.004091,0.006939
0.004345,0.006984
0.004596,0.007029
0.004846,0.007075
0.005096,0.007120
0.005349,0.007166
0.005605,0.007211
0.005865,0.007256
0.006130,0.007302
0.006399,0.007347
0.006673,0.007392
0.006950,0.007438
0.007230,0.007483
0.007511,0.007528
0.007792,0.007574
0.008071,0.007619
0.008349,0.007664
0.008623,0.007710
0.008893,0.007755
0.009159,0.007800
0.009422,0.007846
0.009681,0.007891
0.009936,0.007937
0.010190,0.007982
0.010441,0.008027
0.010692,0.008073
0.010942,0.008118
0.011190,0.008163
0.011438,0.008209
0.011683,0.008254
0.011926,0.008299
0.012163,0.008345
0.012394,0.008390
0.012615,0.008435
0.012826,0.008481
0.013023,0.008526
0.013205,0.008571
0.013370,0.008617
0.013517,0.008662
0.013645,0.008707
0.013755,0.008753
0.013847,0.008798
0.013923,0.008844
0.013984,0.008889
0.014033,0.008934
0.014073,0.008980
0.014105,0.009025
0.014132,0.009070
0.014157,0.009116
0.014181,0.009161
0.014206,0.009206
0.014232,0.009252
0.014258,0.009297
0.014284,0.009342
0.014307,0.009388
0.014326,0.009433
0.014337,0.009478
0.014336,0.009524
0.014321,0.009569
0.014286,0.009615
0.014230,0.009660
0.014149,0.009705
0.014040,0.009751
0.013902,0.009796
0.013733,0.009841
0.013533,0.009887
0.013302,0.009932
0.013042,0.009977
0.012754,0.010023
0.012441,0.010068
0.012105,0.010113
0.011749,0.010159
0.011376,0.010204
0.010988,0.010249
0.010588,0.010295
0.010176,0.010340
0.009755,0.010385
0.009325,0.010431
0.008885,0.010476
0.008434,0.010522
0.007972,0.010567
0.007495,0.010612
0.007003,0.010658
0.006491,0.010703
0.005957,0.010748
0.005398,0.010794
0.004812,0.010839
