time,AAPL,FB,NFLX,V,XOM
2010-01-04,214.009998,NaN,53.479999,88.139999,69.150002
2010-01-05,214.379993,NaN,51.510001,87.129997,69.419998
2010-01-06,210.969995,NaN,53.319999,85.959999,70.019997
2010-01-07,210.580000,NaN,52.400001,86.760002,69.800003
2010-01-08,211.980005,NaN,53.300002,87.000000,69.519997
2010-01-11,210.110003,NaN,53.230000,86.750000,70.300003
2010-01-12,207.720001,NaN,52.370000,86.339996,69.949997
2010-01-13,210.650002,NaN,53.960000,87.139999,69.669998
2010-01-14,209.430000,NaN,50.989999,87.440002,69.680000
2010-01-15,205.930000,NaN,50.950001,86.139999,69.110001
2010-01-19,215.039995,NaN,51.200000,87.849998,69.269997
2010-01-20,211.730000,NaN,51.240001,87.419998,68.029999
2010-01-21,208.069996,NaN,51.190000,84.449997,66.699997
2010-01-22,197.750000,NaN,50.890000,82.730003,66.099998
2010-01-25,203.070002,NaN,49.130000,82.029999,65.849998
2010-01-26,205.940001,NaN,49.949998,81.150002,65.919998
2010-01-27,207.880005,NaN,50.969998,83.910004,65.540001
2010-01-28,199.289995,NaN,63.040001,82.650002,64.959999
2010-01-29,192.060003,NaN,62.250003,82.029999,64.430000
2010-02-01,194.729998,NaN,61.030002,83.660004,66.180000
2010-02-02,195.859997,NaN,61.850000,84.010002,66.959999
2010-02-03,199.229994,NaN,61.950003,83.519997,66.599998
2010-02-04,192.050003,NaN,60.339999,83.050003,64.720001
2010-02-05,195.460001,NaN,60.839997,82.559998,64.800003
2010-02-08,194.119997,NaN,60.899999,83.050003,64.349998
2010-02-09,196.190004,NaN,62.130000,83.269997,65.199997
2010-02-10,195.120007,NaN,61.489999,83.639999,64.849998
2010-02-11,198.669994,NaN,63.360002,85.139999,65.239998
2010-02-12,200.379993,NaN,63.179997,84.779999,64.800003
2010-02-16,203.399996,NaN,64.860003,85.879997,66.279999
2010-02-17,202.550003,NaN,64.510001,86.419998,65.760002
2010-02-18,202.929998,NaN,66.099998,86.959999,65.959999
2010-02-19,201.669996,NaN,66.649997,86.809998,65.870003
2010-02-22,200.419994,NaN,65.269999,86.910004,65.400002
2010-02-23,197.059998,NaN,64.349998,86.120003,64.940002
2010-02-24,200.660000,NaN,64.689999,85.629997,65.550003
2010-02-25,202.000004,NaN,65.610000,85.230003,65.139999
2010-02-26,204.619997,NaN,66.050003,85.279999,65.000000
2010-03-01,208.990004,NaN,69.700000,86.820000,65.400002
2010-03-02,208.850000,NaN,68.979997,86.449997,65.489998
2010-03-03,209.329998,NaN,67.549997,86.800003,65.430000
2010-03-04,210.710003,NaN,68.010001,87.040001,65.400002
2010-03-05,218.950005,NaN,67.650000,88.510002,66.470001
2010-03-08,219.079994,NaN,68.680003,90.629997,66.480003
2010-03-09,223.020004,NaN,69.939999,90.150002,66.779999
2010-03-10,224.839993,NaN,71.280003,91.519997,67.220001
2010-03-11,225.500008,NaN,71.190001,92.739998,67.220001
2010-03-12,226.600006,NaN,69.980000,93.250000,66.800003
2010-03-15,223.839996,NaN,69.599998,92.410004,66.300003
2010-03-16,224.449997,NaN,70.630001,91.650002,66.570000
2010-03-17,224.120003,NaN,70.920001,91.510002,67.360001
2010-03-18,224.650002,NaN,70.539999,90.129997,67.389999
2010-03-19,222.250000,NaN,70.449997,88.839996,67.040001
2010-03-22,224.750004,NaN,72.889999,89.239998,66.970001
2010-03-23,228.359993,NaN,72.960001,89.980003,66.949997
2010-03-24,229.370003,NaN,72.370001,88.750000,66.500000
2010-03-25,226.649994,NaN,73.540001,90.410004,66.300003
2010-03-26,230.899998,NaN,74.299998,90.250000,66.540001
2010-03-29,232.389992,NaN,73.900002,90.239998,67.300003
2010-03-30,235.849991,NaN,75.060002,91.000000,67.050003
2010-03-31,235.000011,NaN,73.739999,91.029999,66.980003
2010-04-01,235.969994,NaN,75.000001,92.550003,67.610001
2010-04-05,238.489998,NaN,79.990002,92.470001,68.190002
2010-04-06,239.540009,NaN,83.369999,92.400002,67.900002
2010-04-07,240.600006,NaN,79.730002,90.709999,67.339996
2010-04-08,239.950005,NaN,81.829997,91.489998,67.860001
2010-04-09,241.789993,NaN,82.419997,92.519997,68.760002
2010-04-12,242.290005,NaN,83.180001,93.190002,68.709999
2010-04-13,242.430008,NaN,86.380001,92.790001,68.660004
2010-04-14,245.690002,NaN,87.570002,94.260002,68.610001
2010-04-15,248.920010,NaN,86.829998,94.449997,68.260002
2010-04-16,247.400002,NaN,85.310003,93.849998,67.930000
2010-04-19,247.070007,NaN,84.799998,93.120003,68.230003
2010-04-20,244.590004,NaN,87.069997,94.050003,68.970001
2010-04-21,259.220005,NaN,86.980001,93.129997,68.919998
2010-04-22,266.469997,NaN,100.249998,95.139999,68.559998
2010-04-23,270.829990,NaN,99.730000,96.589996,69.239998
2010-04-26,269.500000,NaN,108.169999,96.000000,69.290001
2010-04-27,262.039989,NaN,102.070000,92.949997,68.269997
2010-04-28,261.600006,NaN,99.389998,93.610001,69.190002
2010-04-29,268.640007,NaN,103.169998,92.820000,68.660004
2010-04-30,261.090008,NaN,98.900001,90.230003,67.769997
2010-05-03,266.349995,NaN,101.989998,89.269997,67.839996
2010-05-04,258.679993,NaN,99.359998,88.370003,66.470001
2010-05-05,255.989998,NaN,98.229999,86.430000,66.169998
2010-05-06,246.249989,NaN,96.970003,82.919998,63.889999
2010-05-07,235.860004,NaN,91.090002,82.290001,63.700001
2010-05-10,253.990005,NaN,97.500002,85.989998,65.230003
2010-05-11,256.519997,NaN,99.820002,84.160004,64.459999
2010-05-12,262.090004,NaN,107.829998,85.680000,64.910004
2010-05-13,258.360012,NaN,110.010001,85.730003,64.739998
2010-05-14,253.819988,NaN,100.559999,77.260002,63.599998
2010-05-17,254.219997,NaN,106.349998,74.709999,63.270000
2010-05-18,252.360008,NaN,102.009998,70.089996,62.790001
2010-05-19,248.339996,NaN,100.610000,72.970001,62.450001
2010-05-20,237.759995,NaN,94.989998,72.820000,60.330002
2010-05-21,242.319992,NaN,99.470000,74.199997,60.880001
2010-05-24,246.759987,NaN,101.620003,74.550003,60.189999
2010-05-25,245.220005,NaN,105.000000,72.970001,59.709999
2010-05-26,244.109993,NaN,104.800002,73.400002,59.310001
2010-05-27,253.349991,NaN,108.860002,73.690002,61.459999
2010-05-28,256.880005,NaN,111.150001,72.459999,60.459999
2010-06-01,260.830002,NaN,107.289999,71.489998,59.250000
2010-06-02,263.949993,NaN,110.779999,71.250000,60.770000
2010-06-03,263.119987,NaN,111.850003,72.839996,61.560001
2010-06-04,255.960011,NaN,109.780003,72.129997,59.529999
2010-06-07,250.940002,NaN,109.160002,71.889999,59.299999
2010-06-08,249.330006,NaN,110.330002,73.349998,61.240002
2010-06-09,243.200012,NaN,115.429998,73.800003,60.029999
2010-06-10,250.510006,NaN,118.660006,77.449997,61.889999
2010-06-11,253.509995,NaN,120.689999,76.080002,61.860001
2010-06-14,254.279999,NaN,126.810005,73.779999,61.369999
2010-06-15,259.690002,NaN,123.499996,76.930000,62.509998
2010-06-16,267.249989,NaN,124.669996,77.169998,62.509998
2010-06-17,271.869987,NaN,125.859997,78.239998,62.599998
2010-06-18,274.070011,NaN,126.419996,77.040001,63.099998
2010-06-21,270.170002,NaN,118.990000,80.900002,63.130001
2010-06-22,273.850006,NaN,116.429995,78.760002,61.939999
2010-06-23,270.969994,NaN,117.769999,77.760002,61.099998
2010-06-24,268.999989,NaN,115.249994,76.480003,60.070000
2010-06-25,266.699989,NaN,117.980003,76.660004,59.099998
2010-06-28,268.299999,NaN,117.609995,75.220001,58.470001
2010-06-29,256.170002,NaN,112.580000,71.449997,57.290001
2010-06-30,251.530003,NaN,108.649997,70.750000,57.070000
2010-07-01,248.480000,NaN,109.660000,72.860001,56.610001
2010-07-02,246.939991,NaN,107.080001,73.180000,56.570000
2010-07-06,248.629990,NaN,107.269999,72.269997,57.459999
2010-07-07,258.670006,NaN,118.490002,74.820000,58.430000
2010-07-08,258.089993,NaN,116.979994,75.080002,58.810001
2010-07-09,259.619987,NaN,117.530006,77.379997,58.779999
2010-07-12,257.290001,NaN,119.379995,76.510002,58.939999
2010-07-13,251.799995,NaN,120.920004,76.589996,59.419998
2010-07-14,252.730003,NaN,122.999998,76.279999,59.259998
2010-07-15,251.450001,NaN,121.109995,75.279999,59.270000
2010-07-16,249.900005,NaN,118.389999,71.449997,57.959999
2010-07-19,245.580013,NaN,118.899998,71.220001,58.430000
2010-07-20,251.890011,NaN,120.390005,73.599998,58.950001
2010-07-21,254.239998,NaN,119.650002,72.360001,58.169998
2010-07-22,259.020000,NaN,103.560000,74.459999,59.380001
2010-07-23,259.939995,NaN,107.700002,75.589996,59.720001
2010-07-26,259.280006,NaN,102.790003,76.080002,60.389999
2010-07-27,264.080009,NaN,104.089999,76.610001,60.810001
2010-07-28,260.959991,NaN,100.309999,75.180000,60.910000
2010-07-29,258.109993,NaN,98.020000,71.980003,60.340000
2010-07-30,257.250000,NaN,102.549997,73.349998,59.680000
2010-08-02,261.849998,NaN,101.880002,72.230003,61.939999
2010-08-03,261.930000,NaN,104.410000,73.000000,62.720001
2010-08-04,262.980011,NaN,108.129998,72.449997,62.720001
2010-08-05,261.700008,NaN,110.530000,71.500000,62.709999
2010-08-06,260.090012,NaN,118.319998,72.139999,61.970001
2010-08-09,261.749996,NaN,116.900005,74.739998,62.450001
2010-08-10,259.409996,NaN,125.010004,75.269997,61.930000
2010-08-11,250.189999,NaN,126.469997,73.510002,60.389999
2010-08-12,251.790009,NaN,133.050001,72.980003,60.230000
2010-08-13,249.099987,NaN,132.259996,72.220001,59.910000
2010-08-16,247.640007,NaN,137.220003,72.830002,59.880001
2010-08-17,251.970013,NaN,132.969999,73.360001,60.820000
2010-08-18,253.070011,NaN,125.700006,72.879997,60.150002
2010-08-19,249.880005,NaN,128.239998,71.629997,59.290001
2010-08-20,249.639999,NaN,129.959997,70.099998,58.889999
2010-08-23,245.799992,NaN,126.899994,70.120003,59.500000
2010-08-24,239.930004,NaN,121.279999,70.660004,58.939999
2010-08-25,242.889992,NaN,124.250000,70.860001,58.910000
2010-08-26,240.279999,NaN,125.839996,69.910004,58.480000
2010-08-27,241.620003,NaN,126.100002,71.110001,59.799999
2010-08-30,242.499996,NaN,123.100000,69.540001,59.000000
2010-08-31,243.100010,NaN,125.520002,68.980003,59.110001
2010-09-01,250.330002,NaN,134.910004,70.529999,60.910000
2010-09-02,252.169991,NaN,137.999994,71.980003,61.060001
2010-09-03,258.770008,NaN,138.480005,72.500000,61.320000
2010-09-07,257.810013,NaN,141.790001,71.500000,60.549999
2010-09-08,262.920010,NaN,146.000004,68.550003,60.750000
2010-09-09,263.070000,NaN,145.679996,66.779999,61.049999
2010-09-10,263.410007,NaN,146.159994,68.089996,61.200001
2010-09-13,267.039997,NaN,147.939995,65.480003,61.000000
2010-09-14,268.059994,NaN,146.650005,67.120003,61.009998
2010-09-15,270.219990,NaN,143.120005,68.930000,61.000000
2010-09-16,276.569988,NaN,140.499998,68.379997,60.970001
2010-09-17,275.369987,NaN,140.459997,68.489998,60.779999
2010-09-20,283.230007,NaN,142.889999,70.309998,61.549999
2010-09-21,283.769993,NaN,147.200005,69.940002,61.540001
2010-09-22,287.750004,NaN,156.930000,70.620003,61.450001
2010-09-23,288.919991,NaN,160.470001,70.980003,61.150002
2010-09-24,292.319988,NaN,162.210001,72.370003,61.750000
2010-09-27,291.159988,NaN,164.989998,73.000000,61.709999
2010-09-28,286.859997,NaN,161.860006,73.269997,62.060001
2010-09-29,287.369995,NaN,170.629993,74.410004,61.590000
2010-09-30,283.749992,NaN,162.160000,74.260002,61.790001
2010-10-01,282.520004,NaN,154.660002,73.320000,62.540001
2010-10-04,278.639996,NaN,156.390001,73.239998,62.189999
2010-10-05,288.939991,NaN,156.159996,74.989998,63.259998
2010-10-06,289.190010,NaN,150.269995,74.230003,63.939999
2010-10-07,289.219997,NaN,151.429995,73.610001,63.849998
2010-10-08,294.069988,NaN,149.639994,74.000000,64.379997
2010-10-11,295.360004,NaN,153.690006,74.290001,64.550003
2010-10-12,298.539997,NaN,155.390005,74.250000,64.699997
2010-10-13,300.140007,NaN,154.610001,76.940002,65.040001
2010-10-14,302.309990,NaN,152.779999,77.169998,65.300003
2010-10-15,314.739994,NaN,155.719999,77.599998,65.190002
2010-10-18,317.999989,NaN,153.000004,78.360001,66.279999
2010-10-19,309.489994,NaN,149.330000,77.550003,65.120003
2010-10-20,310.529991,NaN,153.149994,79.519997,66.010002
2010-10-21,309.520008,NaN,172.690001,79.199997,66.320000
2010-10-22,307.470001,NaN,168.100002,79.290001,66.339996
2010-10-25,308.839993,NaN,166.840000,80.629997,66.199997
2010-10-26,308.049988,NaN,177.620007,80.029999,66.529999
2010-10-27,307.830009,NaN,178.500000,79.919998,65.669998
2010-10-28,305.239990,NaN,175.700003,76.449997,66.220001
2010-10-29,300.980000,NaN,173.569994,78.160004,66.489998
2010-11-01,304.179993,NaN,167.369999,77.320000,66.949997
2010-11-02,309.360004,NaN,171.610003,78.419998,67.839996
2010-11-03,312.800003,NaN,171.459999,79.000000,67.970001
2010-11-04,318.270008,NaN,167.819996,79.989998,69.379997
2010-11-05,317.130009,NaN,168.100002,79.800003,70.000000
2010-11-08,318.620003,NaN,169.129999,78.709999,70.320000
2010-11-09,316.079998,NaN,170.460003,78.320000,70.629997
2010-11-10,318.030003,NaN,176.870003,79.290001,71.129997
2010-11-11,316.649998,NaN,175.140003,79.220001,71.830002
2010-11-12,308.029987,NaN,172.999994,76.940002,70.989998
2010-11-15,307.040005,NaN,168.299994,76.360001,70.480003
2010-11-16,301.590000,NaN,165.399994,74.989998,68.940002
2010-11-17,300.499989,NaN,166.679996,75.730003,69.010002
2010-11-18,308.429996,NaN,168.329994,76.940002,70.309998
2010-11-19,306.730011,NaN,173.039995,77.050003,70.540001
2010-11-22,313.359989,NaN,188.319998,75.459999,70.190002
