date,city,country,avg_temp_c
2000-01-01,Abidjan Côte,D Ivoire,27.293
2000-02-01,Abidjan Côte,D Ivoire,27.685
2000-03-01,Abidjan Côte,D Ivoire,29.061
2000-04-01,Abidjan Côte,D Ivoire,28.162
2000-05-01,Abidjan Côte,D Ivoire,27.547
2000-06-01,Abidjan Côte,D Ivoire,25.812
2000-07-01,Abidjan Côte,D Ivoire,24.870
2000-08-01,Abidjan Côte,D Ivoire,24.884
2000-09-01,Abidjan Côte,D Ivoire,25.405
2000-10-01,Abidjan Côte,D Ivoire,26.074
2000-11-01,Abidjan Côte,D Ivoire,27.315
2000-12-01,Abidjan Côte,D Ivoire,26.929
2001-01-01,Abidjan Côte,D Ivoire,26.920
2001-02-01,Abidjan Côte,D Ivoire,28.234
2001-03-01,Abidjan Côte,D Ivoire,28.706
2001-04-01,Abidjan Côte,D Ivoire,27.702
2001-05-01,Abidjan Côte,D Ivoire,27.653
2001-06-01,Abidjan Côte,D Ivoire,25.940
2001-07-01,Abidjan Côte,D Ivoire,24.841
2001-08-01,Abidjan Côte,D Ivoire,24.280
2001-09-01,Abidjan Côte,D Ivoire,24.797
2001-10-01,Abidjan Côte,D Ivoire,26.278
2001-11-01,Abidjan Côte,D Ivoire,27.374
2001-12-01,Abidjan Côte,D Ivoire,27.598
2002-01-01,Abidjan Côte,D Ivoire,27.192
2002-02-01,Abidjan Côte,D Ivoire,28.796
2002-03-01,Abidjan Côte,D Ivoire,28.564
2002-04-01,Abidjan Côte,D Ivoire,28.508
2002-05-01,Abidjan Côte,D Ivoire,27.721
2002-06-01,Abidjan Côte,D Ivoire,25.972
2002-07-01,Abidjan Côte,D Ivoire,25.054
2002-08-01,Abidjan Côte,D Ivoire,24.580
2002-09-01,Abidjan Côte,D Ivoire,25.260
2002-10-01,Abidjan Côte,D Ivoire,26.076
2002-11-01,Abidjan Côte,D Ivoire,27.282
2002-12-01,Abidjan Côte,D Ivoire,27.087
2003-01-01,Abidjan Côte,D Ivoire,27.590
2003-02-01,Abidjan Côte,D Ivoire,28.863
2003-03-01,Abidjan Côte,D Ivoire,28.980
2003-04-01,Abidjan Côte,D Ivoire,28.169
2003-05-01,Abidjan Côte,D Ivoire,27.910
2003-06-01,Abidjan Côte,D Ivoire,25.993
2003-07-01,Abidjan Côte,D Ivoire,25.221
2003-08-01,Abidjan Côte,D Ivoire,24.880
2003-09-01,Abidjan Côte,D Ivoire,25.737
2003-10-01,Abidjan Côte,D Ivoire,26.694
2003-11-01,Abidjan Côte,D Ivoire,27.479
2003-12-01,Abidjan Côte,D Ivoire,27.092
2004-01-01,Abidjan Côte,D Ivoire,27.728
2004-02-01,Abidjan Côte,D Ivoire,28.705
2004-03-01,Abidjan Côte,D Ivoire,29.288
2004-04-01,Abidjan Côte,D Ivoire,28.152
2004-05-01,Abidjan Côte,D Ivoire,27.302
2004-06-01,Abidjan Côte,D Ivoire,25.712
2004-07-01,Abidjan Côte,D Ivoire,24.968
2004-08-01,Abidjan Côte,D Ivoire,24.656
2004-09-01,Abidjan Côte,D Ivoire,25.810
2004-10-01,Abidjan Côte,D Ivoire,26.438
2004-11-01,Abidjan Côte,D Ivoire,27.164
2004-12-01,Abidjan Côte,D Ivoire,27.909
2005-02-01,Abidjan Côte,D Ivoire,29.405
2005-03-01,Abidjan Côte,D Ivoire,29.246
2005-04-01,Abidjan Côte,D Ivoire,28.508
2005-05-01,Abidjan Côte,D Ivoire,27.416
2005-06-01,Abidjan Côte,D Ivoire,25.772
2005-07-01,Abidjan Côte,D Ivoire,24.997
2005-08-01,Abidjan Côte,D Ivoire,24.443
2005-09-01,Abidjan Côte,D Ivoire,25.804
2005-10-01,Abidjan Côte,D Ivoire,26.470
2005-11-01,Abidjan Côte,D Ivoire,27.569
2005-12-01,Abidjan Côte,D Ivoire,27.374
2006-01-01,Abidjan Côte,D Ivoire,27.596
2006-02-01,Abidjan Côte,D Ivoire,28.352
2006-03-01,Abidjan Côte,D Ivoire,28.431
2006-04-01,Abidjan Côte,D Ivoire,28.708
2006-05-01,Abidjan Côte,D Ivoire,27.009
2006-06-01,Abidjan Côte,D Ivoire,26.588
2006-07-01,Abidjan Côte,D Ivoire,25.483
2006-08-01,Abidjan Côte,D Ivoire,25.114
2006-09-01,Abidjan Côte,D Ivoire,25.408
2006-10-01,Abidjan Côte,D Ivoire,26.396
2006-11-01,Abidjan Côte,D Ivoire,27.375
2006-12-01,Abidjan Côte,D Ivoire,27.397
2007-01-01,Abidjan Côte,D Ivoire,27.120
2007-02-01,Abidjan Côte,D Ivoire,28.986
2007-03-01,Abidjan Côte,D Ivoire,29.106
2007-04-01,Abidjan Côte,D Ivoire,28.334
2007-05-01,Abidjan Côte,D Ivoire,27.702
2007-06-01,Abidjan Côte,D Ivoire,26.134
2007-07-01,Abidjan Côte,D Ivoire,25.417
2007-08-01,Abidjan Côte,D Ivoire,25.004
2007-09-01,Abidjan Côte,D Ivoire,25.606
2007-10-01,Abidjan Côte,D Ivoire,26.074
2007-11-01,Abidjan Côte,D Ivoire,27.232
2007-12-01,Abidjan Côte,D Ivoire,27.367
2008-01-01,Abidjan Côte,D Ivoire,26.061
2008-02-01,Abidjan Côte,D Ivoire,28.773
2008-03-01,Abidjan Côte,D Ivoire,28.819
2008-04-01,Abidjan Côte,D Ivoire,28.156
2008-05-01,Abidjan Côte,D Ivoire,27.366
2008-06-01,Abidjan Côte,D Ivoire,26.276
2008-07-01,Abidjan Côte,D Ivoire,25.652
2008-08-01,Abidjan Côte,D Ivoire,25.219
2008-09-01,Abidjan Côte,D Ivoire,25.557
2008-10-01,Abidjan Côte,D Ivoire,26.681
2008-11-01,Abidjan Côte,D Ivoire,27.302
2008-12-01,Abidjan Côte,D Ivoire,27.472
2009-01-01,Abidjan Côte,D Ivoire,26.912
2009-02-01,Abidjan Côte,D Ivoire,28.224
2009-03-01,Abidjan Côte,D Ivoire,28.805
2009-04-01,Abidjan Côte,D Ivoire,28.001
2009-05-01,Abidjan Côte,D Ivoire,27.766
2009-06-01,Abidjan Côte,D Ivoire,26.655
2009-07-01,Abidjan Côte,D Ivoire,25.437
2009-08-01,Abidjan Côte,D Ivoire,24.945
2009-09-01,Abidjan Côte,D Ivoire,25.568
2009-10-01,Abidjan Côte,D Ivoire,26.354
2009-11-01,Abidjan Côte,D Ivoire,27.497
2009-12-01,Abidjan Côte,D Ivoire,27.620
2010-02-01,Abidjan Côte,D Ivoire,29.262
